,created_at,content,media,source_link,favorites,retweets,replies
431,1614880250,Does Saying “Link in Bio” Affect Your Instagram Post Performance?,,https://twitter.com/hootsuite/status/1367533003069485056,14,1,3
432,1614881575,"@MadalynSklar 2|2 A good social media audit will tell you: 
1. What content is working and what’s not
2. Who your audience is
3. If your channels tell an aligned brand story
4. New opportunities to grow and engage your audience. #TwitterSmarter https://twitter.com/hootsuite/status/1367538561751334913/photo/1","MEDIA_ANIMATED_GIF - https://twitter.com/hootsuite/status/1367538561751334913/photo/1
",https://twitter.com/hootsuite/status/1367538561751334913,9,2,2
433,1615328655,@Crommunist @AngryAfrican You were awesome. Thanks so much!,,https://twitter.com/hootsuite/status/1369413752580411401,2,0,1
434,1615487947,@usebroca Of course! We've shared internally for consideration👍,,https://twitter.com/hootsuite/status/1370081869451124743,1,0,0
435,1615486488,@biteable @todcordill @MadalynSklar We need to get together and join a future #TwitterSmarter chat from the top of the Sea 2 Sky Gondola! #DoItForTheGram #TwitterSmarter,,https://twitter.com/hootsuite/status/1370075752042016773,1,0,1
436,1615485858,@MadalynSklar @meganpowers Excited to be taking part! Hi Megan! 👋 #TwitterSmarter,,https://twitter.com/hootsuite/status/1370073106681856005,2,0,1
437,1615492471,@ClaussenPickles Looking back on ourselves after a year of this. We were such sweet summer children.,,https://twitter.com/hootsuite/status/1370100847183597573,0,0,1
438,1615241741,"@StephanieLMcGee Ah, sorry to hear this. Is there anything in particular you don't like? We can share the feedback with the design team.",,https://twitter.com/hootsuite/status/1369049205721927688,0,0,1
439,1614881554,@MadalynSklar 1|2 A social media audit should start with identifying all of your channels and reviewing them by network. Are the profiles complete and on brand? Do they align with your overall business goals? What are your best posts over the last quarter? #TwitterSmarter https://twitter.com/hootsuite/status/1367538473889124354/photo/1,"MEDIA_ANIMATED_GIF - https://twitter.com/hootsuite/status/1367538473889124354/photo/1
",https://twitter.com/hootsuite/status/1367538473889124354,13,3,2
440,1615842048,@timcampbellSMS You can post Stories using Hootsuite https://blog.hootsuite.com/schedule-instagram-stories/,,https://twitter.com/hootsuite/status/1371567078738640906,1,0,1
441,1615498815,@NewRarities @elrokk We gotchu 👍,,https://twitter.com/hootsuite/status/1370127454006870019,2,0,1
442,1615590216,@Wizards_DnD Owlfolk? We are HERE for it. 🦉,,https://twitter.com/hootsuite/status/1370510818786357249,2,0,1
443,1614987293,"Out of office, activated 🦉 https://twitter.com/budlight/status/1367979467289862144 https://twitter.com/budlight/status/1367979467289862144",,https://twitter.com/hootsuite/status/1367981973763948545,20,1,1
444,1615486552,"@Let_Anita @MadalynSklar Oh 100%. It needs to be done. Just make sure you set the list to private so they don't see you're tracking them. Or leave it open, that's a power move 😂 #TwitterSmarter",,https://twitter.com/hootsuite/status/1370076020250906629,3,1,0
445,1615579162,"@brianne2k A7. Promoting travel is a complicated thing right now. Encouraging people to follow their health guidelines is important, but we think you can take the opportunity to promote your destination's focus on cleanliness protocols to make people feel extra safe when visiting. #PopChat",,https://twitter.com/hootsuite/status/1370464452185878532,4,0,0
446,1615578590,"@brianne2k A1. Perhaps they could promote ""Meghan's Favorite Flavor"" kind of like how book stores promote some books as ""Staff Favorites"" #PopChat",,https://twitter.com/hootsuite/status/1370462055053033473,1,0,0
447,1615590541,@Wizards_DnD This has us thinking. What class of character would our mascot Owly be? 🤔 Probably a cleric or a paladin.,,https://twitter.com/hootsuite/status/1370512180139986944,0,0,0
448,1615578558,"@brianne2k A1. Perhaps they could promote ""Oprah's Favorite Flavor"" kind of like how book stores promote some books as ""Staff Favorites"" #PopChat",,https://twitter.com/hootsuite/status/1370461919744770054,0,0,0
449,1615486026,@MadalynSklar Yes! Our team is very excited to start shifting conversations from the brand into Twitter Spaces. #TwitterSmarter,,https://twitter.com/hootsuite/status/1370073813346619398,4,1,1
450,1615575362,@mrjasonchoi https://twitter.com/hootsuite/status/1370448514782740485/photo/1,"MEDIA_ANIMATED_GIF - https://twitter.com/hootsuite/status/1370448514782740485/photo/1
",https://twitter.com/hootsuite/status/1370448514782740485,3,0,0
451,1615486334,"@todcordill @MadalynSklar Sunny Vancouver, BC for us! #TwitterSmarter",,https://twitter.com/hootsuite/status/1370075104957333509,4,1,1
452,1615578805,@brianne2k A4. This starts at the top with the executives and the voters/team that decides the nominees. A PR team can only do so much if no self-evaluation and internal process changes are taking place. #PopChat,,https://twitter.com/hootsuite/status/1370462954672504842,1,0,0
453,1615579320,@inb4denn @brianne2k Count us in 🏝 #PopChat,,https://twitter.com/hootsuite/status/1370465118786555906,2,0,0
454,1615578707,"@brianne2k A2. They'll be much more aware of how they start a Twitter thread, that's for sure. We hope 'shock marketing' like that goes the way of the dinosaurs after this one. It was not good. #PopChat",,https://twitter.com/hootsuite/status/1370462546113802249,1,0,0
455,1615578923,"@brianne2k A5. This is a fun contest! From experience, it can be tough to rely on audience participation. If you want to ask your audience to create content for you, the value/prize better be high enough for them. Otherwise you might end up with low participation numbers. #PopChat",,https://twitter.com/hootsuite/status/1370463452049866752,1,0,0
456,1615216529,Take the guesswork out of when to publish http://ow.ly/BJka50DRFRF https://twitter.com/hootsuite/status/1368943460548542472/photo/1,"MEDIA_PHOTO - https://twitter.com/hootsuite/status/1368943460548542472/photo/1
",https://twitter.com/hootsuite/status/1368943460548542472,15,4,0
457,1615490817,@xoanniecoleman Thanks so much! We're glad you've been enjoying them 😊,,https://twitter.com/hootsuite/status/1370093906805788672,0,0,0
458,1615487185,@usebroca Very interesting! Appreciate the feedback. And cool to see what your tool came up with 😊,,https://twitter.com/hootsuite/status/1370078676532989956,2,0,1
459,1614988581,@JoelECarlson Too true.,,https://twitter.com/hootsuite/status/1367987378665762821,1,0,0
460,1614977566,"Side note: In this house, we don't share spoilers online 🙏",,https://twitter.com/hootsuite/status/1367941177706749952,26,1,3
461,1614964839,@jessilvaxx What's the #1 company that you'd like to be a social media manager for? #MARK1051,,https://twitter.com/hootsuite/status/1367887797865037833,1,0,1
462,1615575642,@Sochelle4 Yep. It's really a shame that this still has to be said.,,https://twitter.com/hootsuite/status/1370449692035842050,1,0,0
463,1615400511,@lala_feller If you're publishing to a non-business profile your notification will have been sent to your mobile at the time you scheduled for in order for you to complete the process of publishing to Instagram. You're at Step 4 of this article from the sounds of it. https://blog.hootsuite.com/how-to-schedule-instagram-posts/#How_to_schedule_Instagram_Posts_non-business_profiles,,https://twitter.com/hootsuite/status/1369715137045819395,0,0,2
464,1615222211,"@HootAJ We're lucky to have you as part of our team, Andrea 😊 #HootsuiteLife",,https://twitter.com/hootsuite/status/1368967293326213131,1,2,0
465,1615050904,"You’ve nailed the content, but do you know when to post it? The answer’s in the data! 👊🤓  Extend your reach with data-driven insights on your best times to publish. http://ow.ly/Pjf450DRqb1 https://twitter.com/hootsuite/status/1368248777451188224/photo/1","MEDIA_PHOTO - https://twitter.com/hootsuite/status/1368248777451188224/photo/1
",https://twitter.com/hootsuite/status/1368248777451188224,23,5,0
466,1615579038,"@brianne2k A6.  Our recommendation, start early. Seasonal products have an inherently short marketing lifespan. Expand that by starting early, getting people excited, and having them pre-order. That way you're ahead of your competition. #PopChat",,https://twitter.com/hootsuite/status/1370463934877212674,4,1,1
467,1614969581,"Leave the heavy lifting to us 💪  New to Hootsuite Analytics, Best Times to Publish helps you reach more customers with insights tailored to your social goals and data. http://ow.ly/D0G050DRpWB https://twitter.com/hootsuite/status/1367907684821958661/photo/1","MEDIA_PHOTO - https://twitter.com/hootsuite/status/1367907684821958661/photo/1
",https://twitter.com/hootsuite/status/1367907684821958661,5,2,0
468,1615328608,"@evaliveshere @Crommunist @GMJuditPolgar It's been an exciting day for #HootsuiteLife, that's for sure!",,https://twitter.com/hootsuite/status/1369413554269544452,2,1,0
469,1615412778,@MJNPAPI 💛,,https://twitter.com/hootsuite/status/1369766587708940291,1,0,0
470,1615937913,"@DiGiorno @Mike_Haracz Happy birthday, Chef Mike! 🍕",,https://twitter.com/hootsuite/status/1371969166689894400,2,0,2
471,1615486381,"@MadalynSklar 2|2 And if you're running a brand's Twitter page, create a list of your employees and biggest fans so you can interact better with your community! #TwitterSmarter https://twitter.com/hootsuite/status/1370075301443739651/photo/1","MEDIA_ANIMATED_GIF - https://twitter.com/hootsuite/status/1370075301443739651/photo/1
",https://twitter.com/hootsuite/status/1370075301443739651,9,2,2
472,1615915374,@Grasshopper @limecallapp @parkbench @magicplan @prezi @Matterport @canva @Promo @placester @buffer We see what you did there. And you know what? We thought it was a hoot.,,https://twitter.com/hootsuite/status/1371874629187473409,1,0,0
473,1614987721,"@budlight Our social team will be using this moving forward. Thank you, and cheers to taking some much needed time off 🙏",,https://twitter.com/hootsuite/status/1367983769102278659,4,3,0
474,1615929650,@Drink_feck A classic,,https://twitter.com/hootsuite/status/1371934507633360898,1,0,0
475,1614877254,"A quiet date. A flamethrower. And a report about how modern organizations are growing brand value, operational efficiency, and business impact with social media. That’s it. That’s the hook. http://ow.ly/UdoV50DPzHa https://twitter.com/hootsuite/status/1367520439015272453/video/1","MEDIA_VIDEO - https://twitter.com/hootsuite/status/1367520439015272453/video/1
",https://twitter.com/hootsuite/status/1367520439015272453,11,5,0
476,1615412718,"Join us for a #LinkedInLive with Hootsuite CEO, @TomKeiser as he chats with female leaders at Hootsuite about the theme of this year's #IWD - #ChooseToChallenge and their experiences and commitment to equality.

Join the live on Tom's LinkedIn page: http://ow.ly/eUr350DVtyT https://twitter.com/hootsuite/status/1369766336386244610/photo/1","MEDIA_PHOTO - https://twitter.com/hootsuite/status/1369766336386244610/photo/1
",https://twitter.com/hootsuite/status/1369766336386244610,16,3,0
